date,weather_code,temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,sunrise,sunset,daylight_duration,sunshine_duration,precipitation_sum,rain_sum,snowfall_sum,precipitation_hours,wind_speed_10m_max,wind_gusts_10m_max,wind_direction_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,venue_uuid,game_uuid
2022-12-25 00:00:00+00:00,0.0,26.921299,12.8813,17.415049,15.613026,1.6151886,6.3182178,0,0,32807.535,28852.236,0.0,0.0,0.0,0.0,10.970427,26.1729,239.01782,8.36,0.047518723,e40e4910-ab54-f4e2-03a4-4950e2a59e56,41207184-e264-da70-21cb-443c290ccb23
2022-12-22 00:00:00+00:00,73.0,34.0898,8.799801,28.311052,27.125181,-6.0300217,19.16654,0,0,32866.5,1296.31,0.1535433,0.0,1.0748031,5.0,22.717394,33.3313,222.84857,2.63,0.020018958,0ca82913-10b8-b768-40b5-63a40b632c5a,2ffdf859-f5b9-60f0-2637-2ce757557704
2022-12-23 00:00:00+00:00,73.0,6.1898003,-9.9202,-3.5077007,-8.756832,-27.350739,-21.362768,0,0,32870.344,28284.084,0.07086614,0.0,0.49606293,8.0,30.043333,44.739998,272.469,8.34,0.019495022,0ca82913-10b8-b768-40b5-63a40b632c5a,2ffdf859-f5b9-60f0-2637-2ce757557704
2022-12-24 00:00:00+00:00,71.0,14.919802,-1.7302017,3.92855,-1.5456161,-20.064362,-12.355248,0,0,32878.367,28369.3,0.007874016,0.0,0.05511811,2.0,26.877535,42.0556,267.1021,8.7,0.02790243,0ca82913-10b8-b768-40b5-63a40b632c5a,2ffdf859-f5b9-60f0-2637-2ce757557704
2022-12-25 00:00:00+00:00,1.0,14.649799,2.9497986,8.7098,2.1760921,-9.739544,-4.810347,0,0,32890.586,28722.48,0.0,0.0,0.0,0.0,21.04683,30.4232,270.65298,8.84,0.02995244,0ca82913-10b8-b768-40b5-63a40b632c5a,2ffdf859-f5b9-60f0-2637-2ce757557704
2022-12-22 00:00:00+00:00,73.0,48.856102,29.8661,36.82235,39.88253,22.847057,29.706657,0,0,33843.973,0.0,0.81102365,0.79133856,0.13779527,12.0,19.494013,34.6735,70.60036,1.31,0.011879511,657a60a5-9de8-7e63-d184-075c7787df2d,a8c66308-b8ba-e17b-548b-3b383fc9eb52
2022-12-23 00:00:00+00:00,73.0,51.9161,11.5061,37.5311,49.45622,-3.9855423,27.767227,0,0,33847.43,17310.846,1.3110235,1.2874014,0.16535433,13.0,25.565495,46.7533,242.67339,5.98,0.02441306,657a60a5-9de8-7e63-d184-075c7787df2d,a8c66308-b8ba-e17b-548b-3b383fc9eb52
2022-12-24 00:00:00+00:00,2.0,21.4961,6.3761024,12.17735,7.836487,-7.380703,-1.6889329,0,0,33854.65,29900.617,0.0,0.0,0.0,0.0,19.690683,38.7001,267.42212,9.79,0.05033221,657a60a5-9de8-7e63-d184-075c7787df2d,a8c66308-b8ba-e17b-548b-3b383fc9eb52
2022-12-25 00:00:00+00:00,0.0,29.8661,13.576101,19.90235,18.455273,5.163681,10.071867,0,0,33865.637,29972.676,0.0,0.0,0.0,0.0,11.875079,22.8174,266.84106,9.85,0.046007283,657a60a5-9de8-7e63-d184-075c7787df2d,a8c66308-b8ba-e17b-548b-3b383fc9eb52
2022-12-22 00:00:00+00:00,73.0,-0.49810028,-10.668098,-5.9018497,-9.139866,-22.017815,-16.620783,0,0,31575.568,26159.926,0.1574803,0.0,1.1023622,10.0,12.66229,22.369999,302.60095,7.63,0.007787246,8d50ac8c-2038-79ea-a7a6-385c79362701,529d7c27-bef7-2c43-34f4-ec8bf5d5f973
2022-12-23 00:00:00+00:00,3.0,-0.8581009,-13.278099,-9.2506,-14.683815,-25.782867,-22.328056,0,0,31579.936,27365.35,0.0,0.0,0.0,0.0,18.701372,33.3313,305.27176,7.12,0.010596377,8d50ac8c-2038-79ea-a7a6-385c79362701,529d7c27-bef7-2c43-34f4-ec8bf5d5f973
2022-12-24 00:00:00+00:00,3.0,2.471899,-5.988098,-2.3955998,-9.505199,-18.53352,-15.0012865,0,0,31589.055,27350.398,0.0,0.0,0.0,0.0,17.248125,31.0943,308.49265,7.83,0.013628608,8d50ac8c-2038-79ea-a7a6-385c79362701,529d7c27-bef7-2c43-34f4-ec8bf5d5f973
2022-12-25 00:00:00+00:00,73.0,4.631901,-10.938099,-1.7543497,-3.4681244,-21.606434,-11.878776,0,0,31602.945,14144.883,0.015748031,0.0,0.11023623,2.0,12.821347,23.2648,297.65918,5.63,0.011821793,8d50ac8c-2038-79ea-a7a6-385c79362701,529d7c27-bef7-2c43-34f4-ec8bf5d5f973
2022-12-30 00:00:00+00:00,65.0,70.7153,58.9253,63.927795,71.61192,58.03968,64.82896,0,0,36939.13,19978.354,2.6023622,2.6023622,0.0,8.0,13.169832,26.3966,32.24247,9.6,0.063129395,55f1a729-57ca-9033-a64c-351905ed49c1,66f64324-3769-75b2-00dc-ea9b8d8d2131
2022-12-31 00:00:00+00:00,3.0,73.5953,53.8853,62.300304,71.52324,53.704895,62.483143,0,0,36962.457,29996.574,0.0,0.0,0.0,0.0,7.75565,14.764199,243.93692,13.24,0.08919177,55f1a729-57ca-9033-a64c-351905ed49c1,66f64324-3769-75b2-00dc-ea9b8d8d2131
2023-01-01 00:00:00+00:00,51.0,79.7153,59.1053,67.1303,80.63337,58.245655,67.896416,0,0,36988.5,25794.523,0.015748031,0.015748031,0.0,3.0,13.379055,22.5937,191.5492,9.23,0.080591455,55f1a729-57ca-9033-a64c-351905ed49c1,66f64324-3769-75b2-00dc-ea9b8d8d2131
